timestamp,open,high,low,close,volume
2025-01-23 12:00:00+00:00,2745.74,2752.43,2745.26,2751.34,3862
2025-01-23 13:00:00+00:00,2751.47,2754.45,2750.85,2751.96,3725
2025-01-23 14:00:00+00:00,2751.85,2753.41,2742.08,2744.73,5101
2025-01-23 15:00:00+00:00,2744.71,2745.79,2735.58,2741.46,5821
2025-01-23 16:00:00+00:00,2741.72,2747.41,2740.23,2745.91,5815
2025-01-23 17:00:00+00:00,2746.21,2749.54,2741.99,2746.63,5020
2025-01-23 18:00:00+00:00,2746.26,2757.33,2744.23,2754.05,5509
2025-01-23 19:00:00+00:00,2754.11,2758.92,2752.38,2757.71,4559
2025-01-23 20:00:00+00:00,2757.74,2758.23,2755.09,2755.77,3964
2025-01-23 21:00:00+00:00,2755.81,2757.99,2753.82,2754.04,3785
2025-01-23 22:00:00+00:00,2754.06,2754.64,2751.28,2753.66,4109
2025-01-23 23:00:00+00:00,2753.61,2754.52,2751.69,2754.52,1217
2025-01-24 01:00:00+00:00,2754.64,2755.61,2753.49,2754.67,1180
2025-01-24 02:00:00+00:00,2754.65,2761.08,2754.44,2759.77,2183
2025-01-24 03:00:00+00:00,2759.72,2762.57,2758.36,2762.26,4048
2025-01-24 04:00:00+00:00,2762.38,2775.35,2762.33,2774.25,5128
2025-01-24 05:00:00+00:00,2774.28,2777.4,2771.01,2772.24,4319
2025-01-24 06:00:00+00:00,2772.23,2775.0,2770.57,2772.08,3217
2025-01-24 07:00:00+00:00,2772.3,2776.73,2772.24,2775.27,3551
2025-01-24 08:00:00+00:00,2775.22,2778.3,2773.17,2773.81,4272
2025-01-24 09:00:00+00:00,2773.69,2775.4,2772.08,2772.74,3706
2025-01-24 10:00:00+00:00,2772.68,2775.33,2770.04,2774.06,3910
2025-01-24 11:00:00+00:00,2773.25,2777.76,2771.05,2772.72,3424
2025-01-24 12:00:00+00:00,2772.73,2776.17,2771.53,2775.72,3484
2025-01-24 13:00:00+00:00,2775.72,2780.05,2774.18,2776.71,3703
2025-01-24 14:00:00+00:00,2776.54,2779.11,2776.16,2778.67,3620
2025-01-24 15:00:00+00:00,2778.68,2784.58,2777.89,2782.37,5311
2025-01-24 16:00:00+00:00,2782.37,2784.26,2773.87,2777.35,5741
2025-01-24 17:00:00+00:00,2777.95,2785.94,2775.59,2775.82,5681
2025-01-24 18:00:00+00:00,2775.89,2777.52,2769.99,2772.06,5167
2025-01-24 19:00:00+00:00,2771.91,2776.17,2770.73,2773.35,3850
2025-01-24 20:00:00+00:00,2773.36,2774.13,2771.39,2773.41,3531
2025-01-24 21:00:00+00:00,2773.46,2775.26,2771.36,2774.64,3265
2025-01-24 22:00:00+00:00,2774.66,2774.85,2770.69,2771.04,3532
2025-01-24 23:00:00+00:00,2771.11,2772.1,2770.42,2771.48,1547
2025-01-27 01:00:00+00:00,2769.76,2769.81,2764.72,2767.27,3038
2025-01-27 02:00:00+00:00,2767.18,2770.94,2765.83,2769.68,2727
2025-01-27 03:00:00+00:00,2769.79,2772.53,2762.88,2762.9,4729
2025-01-27 04:00:00+00:00,2762.9,2763.61,2754.1,2756.14,4437
2025-01-27 05:00:00+00:00,2756.17,2762.62,2755.12,2761.08,3843
2025-01-27 06:00:00+00:00,2761.06,2761.07,2755.74,2758.12,3129
2025-01-27 07:00:00+00:00,2758.16,2758.16,2752.86,2753.27,3826
2025-01-27 08:00:00+00:00,2753.18,2755.05,2750.73,2754.52,4231
2025-01-27 09:00:00+00:00,2754.57,2754.98,2747.32,2749.5,4334
2025-01-27 10:00:00+00:00,2749.69,2759.86,2749.39,2757.23,5067
2025-01-27 11:00:00+00:00,2756.65,2765.0,2755.76,2763.33,4732
2025-01-27 12:00:00+00:00,2763.16,2771.04,2762.86,2768.17,4933
2025-01-27 13:00:00+00:00,2767.88,2771.88,2764.94,2771.16,4867
2025-01-27 14:00:00+00:00,2771.35,2771.52,2760.44,2761.22,4673
2025-01-27 15:00:00+00:00,2761.05,2762.48,2752.28,2757.41,5474
2025-01-27 16:00:00+00:00,2757.19,2757.99,2744.95,2750.79,5684
2025-01-27 17:00:00+00:00,2750.78,2751.03,2739.58,2741.87,5884
2025-01-27 18:00:00+00:00,2741.95,2743.14,2733.37,2734.42,5555
2025-01-27 19:00:00+00:00,2734.73,2736.86,2730.48,2733.58,4856
