timestamp,open,high,low,close,volume
2025-02-24 19:00:00+00:00,149.571,149.706,149.512,149.579,3506
2025-02-24 20:00:00+00:00,149.581,149.614,149.382,149.587,2629
2025-02-24 21:00:00+00:00,149.59,149.8,149.586,149.677,2800
2025-02-24 22:00:00+00:00,149.677,149.792,149.612,149.723,2743
2025-02-24 23:00:00+00:00,149.723,149.792,149.683,149.692,1173
2025-02-25 00:00:00+00:00,149.686,149.736,149.614,149.702,389
2025-02-25 01:00:00+00:00,149.708,149.913,149.695,149.91,2024
2025-02-25 02:00:00+00:00,149.911,150.184,149.911,150.146,3367
2025-02-25 03:00:00+00:00,150.146,150.3,150.05,150.051,3266
2025-02-25 04:00:00+00:00,150.05,150.091,149.811,149.828,2740
2025-02-25 05:00:00+00:00,149.827,149.901,149.611,149.666,2387
2025-02-25 06:00:00+00:00,149.664,149.712,149.46,149.562,2621
2025-02-25 07:00:00+00:00,149.562,149.769,149.505,149.712,2174
2025-02-25 08:00:00+00:00,149.712,149.866,149.624,149.762,2906
2025-02-25 09:00:00+00:00,149.762,149.781,149.191,149.279,3924
2025-02-25 10:00:00+00:00,149.275,149.605,149.218,149.454,4096
2025-02-25 11:00:00+00:00,149.453,149.758,149.439,149.597,3595
2025-02-25 12:00:00+00:00,149.596,149.828,149.593,149.763,3206
2025-02-25 13:00:00+00:00,149.763,149.953,149.659,149.808,3136
2025-02-25 14:00:00+00:00,149.809,149.809,149.481,149.686,3486
2025-02-25 15:00:00+00:00,149.685,149.817,149.335,149.432,3519
2025-02-25 16:00:00+00:00,149.431,149.538,149.11,149.175,4326
2025-02-25 17:00:00+00:00,149.164,149.168,148.561,149.076,5179
2025-02-25 18:00:00+00:00,149.064,149.133,148.78,149.095,4415
2025-02-25 19:00:00+00:00,149.093,149.253,149.012,149.075,3756
2025-02-25 20:00:00+00:00,149.073,149.248,149.051,149.171,3687
2025-02-25 21:00:00+00:00,149.165,149.172,148.999,149.077,3700
2025-02-25 22:00:00+00:00,149.075,149.089,148.907,148.948,3271
2025-02-25 23:00:00+00:00,148.947,149.037,148.934,149.001,1694
2025-02-26 00:00:00+00:00,149.01,149.111,148.863,149.111,499
2025-02-26 01:00:00+00:00,149.118,149.183,148.853,149.053,1627
2025-02-26 02:00:00+00:00,149.052,149.084,148.614,148.904,3164
2025-02-26 03:00:00+00:00,148.906,149.234,148.718,149.223,3419
2025-02-26 04:00:00+00:00,149.229,149.469,149.174,149.461,3254
2025-02-26 05:00:00+00:00,149.458,149.517,149.311,149.394,2419
2025-02-26 06:00:00+00:00,149.392,149.555,149.283,149.439,2315
2025-02-26 07:00:00+00:00,149.439,149.631,149.407,149.436,2465
2025-02-26 08:00:00+00:00,149.435,149.63,149.431,149.573,2601
2025-02-26 09:00:00+00:00,149.57,149.603,149.331,149.535,3513
2025-02-26 10:00:00+00:00,149.53,149.545,149.251,149.29,3637
2025-02-26 11:00:00+00:00,149.288,149.44,149.254,149.361,3037
2025-02-26 12:00:00+00:00,149.362,149.527,149.224,149.518,2883
2025-02-26 13:00:00+00:00,149.522,149.591,149.477,149.543,2405
2025-02-26 14:00:00+00:00,149.544,149.645,149.445,149.613,2892
2025-02-26 15:00:00+00:00,149.614,149.682,149.309,149.536,3671
2025-02-26 16:00:00+00:00,149.535,149.731,149.291,149.669,4241
2025-02-26 17:00:00+00:00,149.655,149.886,149.402,149.485,4750
2025-02-26 18:00:00+00:00,149.486,149.527,149.121,149.132,3868
2025-02-26 19:00:00+00:00,149.135,149.239,149.012,149.149,3912
2025-02-26 20:00:00+00:00,149.145,149.156,148.827,148.924,3618
2025-02-26 21:00:00+00:00,148.922,148.966,148.812,148.834,3557
2025-02-26 22:00:00+00:00,148.842,149.051,148.828,149.028,2921
2025-02-26 23:00:00+00:00,149.035,149.233,148.993,149.063,1739
2025-02-27 00:00:00+00:00,149.002,149.079,148.943,148.962,324
2025-02-27 01:00:00+00:00,148.971,149.013,148.748,148.882,1727
2025-02-27 02:00:00+00:00,148.884,149.177,148.783,149.14,3724
2025-02-27 03:00:00+00:00,149.139,149.403,149.072,149.358,3196
2025-02-27 04:00:00+00:00,149.368,149.382,149.169,149.263,2529
2025-02-27 05:00:00+00:00,149.262,149.357,149.19,149.221,2258
2025-02-27 06:00:00+00:00,149.221,149.266,149.074,149.097,2235
2025-02-27 07:00:00+00:00,149.097,149.37,149.097,149.341,2593
2025-02-27 08:00:00+00:00,149.342,149.423,149.202,149.255,2733
2025-02-27 09:00:00+00:00,149.262,149.331,149.187,149.266,2829
2025-02-27 10:00:00+00:00,149.267,149.729,149.157,149.714,3367
2025-02-27 11:00:00+00:00,149.714,149.963,149.627,149.841,2983
2025-02-27 12:00:00+00:00,149.846,149.97,149.8,149.852,2587
2025-02-27 13:00:00+00:00,149.851,149.898,149.683,149.796,2288
2025-02-27 14:00:00+00:00,149.788,149.797,149.559,149.655,2843
2025-02-27 15:00:00+00:00,149.654,149.878,149.259,149.729,4340
2025-02-27 16:00:00+00:00,149.712,150.139,149.642,149.733,4955
2025-02-27 17:00:00+00:00,149.731,150.096,149.544,149.941,5612
2025-02-27 18:00:00+00:00,149.939,150.161,149.764,149.81,4605
2025-02-27 19:00:00+00:00,149.806,150.013,149.78,149.966,3694
2025-02-27 20:00:00+00:00,149.964,150.152,149.915,150.111,3142
2025-02-27 21:00:00+00:00,150.111,150.121,149.784,149.859,3637
2025-02-27 22:00:00+00:00,149.858,149.861,149.629,149.695,3532
